dpa_canton,provincia,canton,valor
0101,Azuay,Cuenca,32.1
0102,Azuay,Giron,58.4
0103,Azuay,GUALACEO,46.2
0104,Azuay,NABON,78.5
0105,Azuay,PAUTE,59.3
0106,Azuay,PUCARA,79.1
0107,Azuay,SAN FERNANDO,61.2
0108,Azuay,SANTA ISABEL,64.7
0109,Azuay,SIGSIG,68.3
0110,Azuay,OÑA,72.8
0111,Azuay,CHORDELEG,49.5
0112,Azuay,EL PAN,67.4
0113,Azuay,SEVILLA DE ORO,63.8
0114,Azuay,GUACHAPALA,56.1
0115,Azuay,CAMILO PONCE ENRIQUEZ,69.2
0201,Bolívar,GUARANDA,61.5
0202,Bolívar,CHILLANES,69.8
0203,Bolívar,CHIMBO,74.2
0204,Bolívar,ECHEANDIA,76.5
0205,Bolívar,SAN MIGUEL,73.1
0206,Bolívar,CALUMA,67.4
0207,Bolívar,LAS NAVES,78.9
0301,Cañar,AZOGUES,44.3
0302,Cañar,BIBLIAN,62.1
0303,Cañar,Cañar,58.7
0304,Cañar,LA TRONCAL,71.4
0305,Cañar,EL TAMBO,69.8
0306,Cañar,DELEG,64.5
0307,Cañar,SUSCAL,77.2
0401,Carchi,TULCAN,41.2
0402,Carchi,Bolívar,54.6
0403,Carchi,ESPEJO,58.1
0404,Carchi,MIRA,51.9
0405,Carchi,MONTUFAR,63.4
0406,Carchi,SAN PEDRO DE HUACA,65.8
0501,Cotopaxi,LATACUNGA,48.9
0502,Cotopaxi,LA MANA,71.3
0503,Cotopaxi,PANGUA,68.7
0504,Cotopaxi,PUJILI,79.4
0505,Cotopaxi,SALCEDO,64.2
0506,Cotopaxi,SAQUISILI,81.6
0507,Cotopaxi,SIGCHOS,74.8
0601,Chimborazo,RIOBAMBA,42.5
0602,Chimborazo,ALAUSI,72.1
0603,Chimborazo,COLTA,76.8
0604,Chimborazo,CHAMBO,69.4
0605,Chimborazo,CHUNCHI,83.2
0606,Chimborazo,GUAMOTE,84.5
0607,Chimborazo,GUANO,79.8
0608,Chimborazo,PALLATANGA,68.1
0609,Chimborazo,PENIPE,75.3
0610,Chimborazo,CUMANDA,66.7
0701,El Oro,MACHALA,35.4
0702,El Oro,ARENILLAS,51.2
0703,El Oro,ATAHUALPA,54.8
0704,El Oro,BALSAS,59.3
0705,El Oro,CHILLA,48.7
0706,El Oro,EL GUABO,42.1
0707,El Oro,HUAQUILLAS,63.5
0708,El Oro,MARCABELI,57.2
0709,El Oro,PASAJE,39.8
0710,El Oro,PIÑAS,46.5
0711,El Oro,PORTOVELO,47.9
0712,El Oro,SANTA ROSA,61.4
0713,El Oro,ZARUMA,58.2
0714,El Oro,LAS LAJAS,66.8
0801,Esmeraldas,Esmeraldas,56.7
0802,Esmeraldas,ELOY ALFARO,79.4
0803,Esmeraldas,MUISNE,74.8
0804,Esmeraldas,QUININDE,86.2
0805,Esmeraldas,SAN LORENZO,78.1
0806,Esmeraldas,ATACAMES,81.5
0807,Esmeraldas,RIOVERDE,82.9
0808,Esmeraldas,LA CONCORDIA,65.0
0901,Guayas,GUAYAQUIL,36.8
